Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Romanian,English
0,0,0,de,of
1,1,1,nu,not
2,2,2,să,to
3,3,3,și,and
4,4,4,în,in the
5,5,5,o,a
6,6,7,ce,what the
7,7,8,e,e
8,8,9,la,to
9,9,10,a,of
10,10,11,cu,with
11,11,12,pe,on
12,12,13,am,I have
13,13,14,un,a
14,14,15,mai,May
15,15,16,asta,to stay
16,16,17,pentru,for
17,17,18,este,It is
18,18,19,sunt,are
19,19,20,ai,you
20,20,21,te,yourself
21,21,22,bine,good
22,23,24,dar,but
23,24,25,mă,me
24,25,26,se,it
25,26,27,ca,that
26,27,28,din,from
27,29,30,care,which
28,30,31,fi,be
29,31,32,eu,I
30,32,33,dacă,if
31,33,34,aici,here
32,34,35,așa,so
33,35,36,ești,you
34,36,37,trebuie,must
35,37,38,sa,to
36,38,39,cum,How
37,39,40,tu,you
38,40,41,acum,now
39,41,42,când,When
41,43,44,el,he
42,44,45,ar,would
43,45,46,lui,his
44,46,47,ceva,something
45,47,48,știu,know
46,48,49,doar,just
47,49,50,ei,They
48,50,51,ne,us
49,51,52,îmi,I
50,52,53,mine,me
51,53,54,tine,YOU
52,54,55,vă,yourself
53,55,56,poate,may be
54,56,57,pot,can
55,57,58,voi,Vol
56,58,59,face,do what
59,61,62,mea,my
60,62,63,spus,SAPS
61,63,64,unde,where
62,64,65,meu,my
63,65,66,ea,she
64,66,67,știi,Know
65,67,68,bună,Hi
66,68,69,mult,a lot
67,69,70,vreau,I want
68,70,71,s-a,to
69,71,72,despre,about
70,72,73,vrei,want
71,73,74,făcut,made
72,74,75,sau,or
73,75,76,tot,all
74,76,77,foarte,very
75,77,78,pare,seems
76,78,79,acolo,there
77,79,80,chiar,even
78,80,81,noi,we
80,82,83,era,It was
81,83,84,nimic,nothing
82,84,85,faci,do
83,85,86,rău,bad
84,86,87,are,It has
85,87,88,poți,you may
86,88,89,nici,neither
87,89,90,mulțumesc,thank you
88,90,91,putea,can
89,91,92,tău,your
90,92,93,îți,you
92,94,95,fie,or
93,95,96,nevoie,need
94,96,97,trebui,have
95,97,98,atunci,then
96,98,99,îl,him
97,99,100,timp,time
98,100,101,să-l,shawl
99,101,102,rog,PLEASE
100,102,103,acest,this
101,103,104,nu-i,not
102,104,105,spune,say
103,105,106,avem,we
104,106,107,al,of
105,107,108,le,they
107,109,110,deci,so
108,110,111,prea,too
109,111,113,cât,How
110,112,114,toate,all
111,113,115,până,until
112,114,116,aș,I would
113,115,117,să-ți,your
114,116,118,încă,yet
115,117,119,ani,years
116,118,120,cel,the
117,119,121,suntem,WE
118,120,122,vei,you
119,121,123,atât,so much
120,122,124,bun,good
121,123,125,sigur,sure
122,124,126,văzut,seen
123,125,127,îi,him
124,126,128,vor,will
125,127,129,vrea,like
126,128,130,iar,and
127,129,131,haide,Come on
128,130,132,să-i,Let's
129,131,133,crezi,believe
130,132,134,hei,Hey
131,133,135,stai,stay
132,134,136,să-mi,me
133,135,137,totul,all
134,136,138,avea,have
135,137,139,venit,income
136,138,140,puțin,little bit
137,139,141,ăsta,to stay
138,140,142,spui,say
140,142,144,m-am,I
141,143,145,lucru,working
142,144,146,regulă,rule
143,145,147,niciodată,never
144,146,148,fel,kind
145,147,149,decât,than
146,148,150,văd,I'm seeing
147,149,151,putem,can
148,150,152,ceea,EAEC
149,151,153,n-am,I
150,152,154,toți,all
151,153,155,înainte,before
152,154,156,toată,all
153,155,157,place,like
154,156,158,domnule,mister
155,157,159,ați,you
156,158,160,întâmplat,happen
157,159,161,prin,through
158,160,162,s-o,and a
159,161,163,mergem,Go
160,162,164,unul,one
161,163,165,uite,look
162,164,166,niște,some
163,165,167,hai,let's
164,166,168,loc,place
165,167,169,nimeni,no one
166,168,170,mama,mother
167,169,171,apoi,then
168,170,172,vezi,see
169,171,173,fii,sons
170,172,174,l-am,I
171,173,175,naiba,heck
172,174,176,nou,new
173,175,177,oameni,people
174,176,178,această,This one
175,177,179,două,two
176,178,180,ia,takes
177,179,181,zi,day
178,180,182,multe,many
179,181,183,înapoi,back
180,182,184,într-o,a
181,183,185,jos,down
182,184,186,lumea,the world
183,185,187,nu-mi,I do not
184,186,188,timpul,time
185,187,189,găsit,finder
186,188,190,orice,anything
187,189,191,oamenii,people
188,190,192,auzit,heard
189,191,193,dle,Mr.
190,192,194,luat,taken
191,193,195,fiecare,every
192,194,196,peste,over
193,195,197,vrut,WANTED
194,196,198,viața,life
195,197,199,astea,these
196,198,200,sunteți,you
197,199,201,fiu,son
198,200,202,dintre,from
199,201,203,merge,go
200,202,204,lor,their
201,203,205,trei,three
202,204,206,numele,name
203,205,207,om,man
204,206,208,știe,know
205,207,209,tatăl,father
206,208,210,cea,the
207,209,211,dată,date
209,211,213,cei,the
210,212,214,noastră,Our
211,213,215,doamne,gosh
213,215,217,te-ai,you
214,216,218,întâmplă,happen
215,217,219,i,and
216,218,220,înseamnă,means
217,219,221,du-te,Go
218,220,222,într-un,a
219,222,224,deja,already
220,223,225,ziua,day
221,224,226,duc,lead
222,225,227,aia,that
223,226,228,parte,part
224,227,229,i-am,I
225,228,230,ți-am,I
226,229,231,vino,come over
227,230,232,destul,enough
228,231,233,afară,outside
229,232,234,serios,seriously
230,233,235,gata,ready
232,235,237,vorbesc,I'm talking
233,236,238,mamă,mother
234,237,239,ok,K
235,238,240,aproape,close
236,239,241,vedem,We see
237,240,242,dau,give
238,241,243,numai,no more
239,242,244,facă,make
240,243,245,nostru,our
241,244,246,adică,namely
242,245,247,una,one
243,246,248,vin,wine
244,247,249,m-a,me
245,248,250,eram,we were
246,249,251,locul,the place
247,250,252,târziu,Late
248,251,253,aceasta,This one
249,252,254,scuze,Sorry
250,253,255,grijă,care
251,254,256,acesta,this
252,255,257,vine,it's coming
254,257,259,împreună,together
255,258,260,repede,quick
256,259,261,zis,said
257,260,262,fapt,fact
258,261,263,ori,or
259,262,265,n-o,In a
260,263,266,putut,could
261,264,267,lucruri,things
262,265,268,singur,single
263,266,269,prima,received
264,267,270,probabil,probable
265,268,271,ajuns,made
266,269,272,măcar,even
267,270,273,început,beginning
268,271,274,l-a,it has
269,272,275,viață,life
270,273,276,dreptate,justice
271,274,277,simt,sense
272,275,278,tocmai,just
273,276,279,mâine,tomorrow
274,277,280,noapte,night
275,278,281,tată,father
276,279,282,cele,the
277,280,283,ăla,that
279,282,285,zile,days
280,283,286,mereu,always
281,284,287,partea,the
282,285,288,lucrurile,the things
283,286,289,iau,I take
284,287,290,unui,a
285,288,291,plecat,gone
286,289,292,crezut,thought
287,290,293,omule,man
288,291,294,înțeleg,I see
289,292,295,imediat,immediate
290,293,296,ne-am,we
291,294,297,spre,to
292,295,298,azi,today
293,296,299,așteaptă,Wait
294,297,300,departe,far away
295,298,301,aceste,these
296,299,302,terminat,completed
297,300,303,trebuia,had
298,301,304,iubesc,I love
300,303,306,casa,home
301,304,307,vorbești,talk
302,306,309,pierdut,lost
303,307,310,sub,under the
304,308,311,copii,BOYS
305,309,312,frumos,beautiful
306,310,313,banii,the money
307,312,315,mi-am,I
308,313,316,mi,ml
309,314,317,păi,Well
310,315,318,simți,feel
311,316,319,mei,my
313,318,321,plec,I am leaving
314,319,322,făcut-o,done it
315,320,323,gândit,thought
316,321,324,sus,up
317,322,325,n-a,
318,323,326,s-ar,WOULD
319,324,327,fața,face
320,325,328,greu,hard
321,326,329,vedea,see
322,327,330,seara,in the evening
323,328,331,față,face
324,329,332,mi-ai,You
325,330,333,d-le,Mr.
326,331,334,dumnezeu,God
327,333,336,desigur,Of course
328,334,337,puteți,you can
329,335,339,își,their
330,336,340,minute,minutes
331,337,341,dracu,hell
332,338,342,trebuit,had
333,339,343,dai,you
334,340,344,murit,DIED
335,341,345,urmă,follow
336,342,346,vreodată,ever
337,343,347,mulți,many
338,344,348,siguranță,safety
339,345,349,mie,thousand
340,346,350,întotdeauna,ever
341,347,351,ușor,Easy
342,348,352,femeie,woman
343,349,353,idee,idea
344,350,354,copil,child
345,351,356,tata,father
346,352,357,problemă,problem
347,353,359,casă,home
348,354,360,ultima,last
349,355,361,ale,of
350,356,362,moment,time
351,357,363,tip,type
352,358,364,i-a,takes
353,359,365,primul,the first
354,360,366,încercat,tried
355,361,367,pus,put
356,362,368,sper,hope
357,363,369,noastre,our
358,364,370,merg,go
359,365,371,treaba,the job
360,366,372,pic,bit
361,367,373,s-au,or
